LaLiga TV BAR HD,LaLiga TV BAR HD
DAZN LaLiga HD,DAZN LaLiga HD+
DAZN LaLiga HD,DAZN LaLiga HD 235
DAZN LaLiga 2 HD,DAZN LaLiga2 HD
M+ Liga de Campeones HD,M+ LCAMPEONES +
M+ Liga de Campeones HD,M+ LCAMPEONES SD
M+ Liga de Campeones HD,M+ LCAMPEONES HD
M+ Liga de Campeones HD,M+ LCAMPEONES HD+
M+ Liga de Campeones 2 HD,M+ LCAMPEONES 2 HD
M+ Liga de Campeones 3 HD,M+ LCAMPEONES 3 HD DOLO EVENTOS
M+ Liga de Campeones 4,M+ LCAMPEONES 4 HD SOLO EVENTOS
M+ Liga de Campeones 5,M+ LCAMPEONES 5 HD SOLO EVENTOS
M+ Liga de Campeones 6,M+ LCAMPEONES 6 HD SOLO EVENTOS
M+ Liga de Campeones 7,M+ LCAMPEONES 7 HD SOLO EVENTOS
M+ Liga de Campeones 8,M+ LCAMPEONES 8 HD SOLO EVENTOS
M+ Liga de Campeones 9,M+ LCAMPEONES 9 HD SOLO EVENTOS
M+ Liga de Campeones 10,M+ LCAMPEONES 10 HD SOLO EVENTOS
M+ Liga de Campeones 11,M+ LCAMPEONES 11 HD SOLO EVENTOS
M+ Liga de Campeones 12,M+ LCAMPEONES 12 HD SOLO EVENTOS
M+ Liga de Campeones 13,M+ LCAMPEONES 13 HD SOLO EVENTOS
Movistar Plus+ HD,Movistar Plus+ HD
Movistar Plus+ 2 HD,Movistar Plus+2 HD
DAZN F1 HD,DAZN F1 HD
DAZN 1 HD,DAZN 1 HD
DAZN 2 HD,DAZN 2 HD
DAZN 3 HD,DAZN 3 HD
DAZN 4 HD,DAZN 4 HD
M+ Deportes HD,M+ DEPORTESHD
M+ Deportes 2 HD,M+ DEPORTES2 SOLO EVENTOS
M+ Deportes 4,M+ DEPORTES4 SOLO EVENTOS
M+ Deportes 5,M+ DEPORTES5 SOLO EVENTOS
M+ Deportes 6,M+ DEPORTES6 SOLO EVENTOS
M+ Deportes 7,M+ DEPORTES7 SOLO EVENTOS
LaLiga TV Hypermotion HD,LALIGA TV HYPERMOTION HD
LaLiga TV Hypermotion 2,LALIGA TV HYPERMOTION 2 HD
LaLiga TV Hypermotion 3,LALIGA TV HYPERMOTION 3 HD
M+ Vamos HD,M+ VAMOSHD
Vamos BAR,M+  VAMOS BAR1 
GOL PLAY,GOL PLAY
Real Madrid TV,Realmadrid TV HD
Teledeporte,TELEDEPORTE HD
M+ Golf HD,M+ GOLF HD
M+ Golf 2 HD,M+ GOLF 2 HD
Eurosport 1 HD,EUROSPORT 1 HD
Eurosport 2,EUROSPORT 2
FEF TV 1 Grupo 1,FEF TV 1
FEF TV 2 Grupo 1,FEF TV 2
MTV España,MTV ESPANA
Mezzo Live HD,MEZZO LIVE HD
Classica HD,Classica
Disney Channel HD,DISNEY CH HD
Disney Junior,DISNEY JR
Disney Junior Movies 1
Disney Junior Movies 2
Clan,CLAN TVE
Boing,BOING
Nickelodeon HD,NICKELODEON
Nick JR,NICK JR
Enfamilia,ENFAMILIA
Baby TV,BABY TV
Dreamworks HD,DreamWorks
24 Horas,24 HORAS
La 1 HD,LA 1 HD
La 2,LA 2 HD
Antena 3 HD,ANTENA 3 HD
Cuatro HD,CUATRO HD
Telecinco HD,TELECINCO HD
La Sexta HD,LA SEXTA HD
Nova,NOVA
Neox,NEOX
Aragón TV Internacional,ARAGON TV INT
Canal Sur HD,CANAL SUR HD
Andalucía TV,AndaluciaTV
BOM Cine,BOM
TRECE,TRECE
Mega,mega
DMAX,DMAX
CANAL MALAGA HD
DKISS,DKISS
Ten,TEN
Be Mad,BeMad tv HD
Paramount Network,PARAMOUNT NETWORK
Somos,SOMOS
M+ Copa del Rey,M+Copa del Rey HD
M+ LaLiga TV HD,M+ LaLigaTVSD
M+ LaLiga TV HD,M+ LaLigaTVHD
M+ LaLiga TV HD,M+ LaLigaTVHD+
M+ LaLiga TV HD,M+ LaLigaTVHD 235
M+ LALIGA TV 2 HD,M+ LaLiga 2 HD
M+ LaLiga TV 3 HD,M+ laliga TV 3 HD
DAZN LaLiga HD,DAZN LaLiga
DAZN LaLiga HD,DAZN LaLiga SD
DAZN LaLiga HD,DAZN LaLiga HD
DAZN LaLiga HD,DAZN LaLiga HD+
DAZN LaLiga HD,DAZN LaLiga HD 235
DAZN LaLiga 2 HD,DAZN LaLiga2 HD
LaLiga TV Hypermotion HD,LALIGA TV HYPERMOTION HD
LaLiga TV Hypermotion 2,LALIGA TV HYPERMOTION 2 HD
LaLiga TV Hypermotion 3,LALIGA TV HYPERMOTION 3 HD
M+ Liga de Campeones HD,M+ LCAMPEONES +
M+ Liga de Campeones HD,M+ LCAMPEONES SD
M+ Liga de Campeones HD,M+ LCAMPEONES HD+
M+ Liga de Campeones 2 HDM+ LCAMPEONES 2 HD
